time_s,sig_activation_sine_ratio_af,sig_activation_square_ratio_af,left_ventricle_stiffness_cgs_af,left_ventricle_pressure_mmhg_af,arterial_compliance_pressure_mmhg_af,left_ventricle_volume_ml_af,mitral_flow_ml_per_s_af,tricuspid_flow_ml_per_s_af
2.579,1.0014946875857569,0.17899999999999983,2500.0,47.67478993878569,41.2331622836818,35.40112807938502,0.0,-8.668507206848421e-08
2.58,1.002897177738756,0.17999999999999972,2500.0,47.46547474528714,41.23564178143159,35.28960494428899,0.0,-8.668507206848421e-08
2.581,1.0041413477242205,0.1809999999999996,2500.0,47.25911858560632,41.23882443427913,35.17965838241105,0.0,-8.668507206848421e-08
2.582,1.00522567828331,0.1819999999999995,2500.0,47.05612208001981,41.242697585287054,35.071501844234554,0.0,-8.668507206848421e-08
2.583,1.0061486894959752,0.18299999999999983,2500.0,46.85685209756767,41.24724541115182,34.96533079758405,0.0,-8.668507206848421e-08
2.584,1.0069089415402286,0.18399999999999972,2500.0,46.66164483252312,41.25244908879661,34.86132436676832,0.0,-8.668507206848421e-08
2.585,1.007505035437196,0.1849999999999996,2500.0,46.47080724606586,41.25828690838919,34.75964610070389,0.0,-8.668507206848421e-08
2.586,1.0079356137815982,0.1859999999999995,2500.0,46.28461788515155,41.26473433228879,34.66044440920874,0.0,-8.668507206848421e-08
2.587,1.0081993614573366,0.18699999999999983,2500.0,46.10332827516472,41.27176406686683,34.56385330500776,0.0,-8.668507206848421e-08
2.588,1.0082950063378513,0.18799999999999972,2500.0,45.92716491098048,41.27934622900872,34.4699934645704,0.0,-8.668507206848421e-08
2.589,1.008221319970936,0.1889999999999996,2500.0,45.75633024112959,41.28744849173901,34.37897275247384,0.0,-8.668507206848421e-08
2.59,1.0079771182476895,0.1899999999999995,2500.0,45.591005113829965,41.29603631374525,34.2908875246486,0.0,-8.668507206848421e-08
2.591,1.007561262055301,0.19099999999999984,2500.0,45.43135202692266,41.30507319465684,34.205824359944394,0.0,-8.668507206848421e-08
2.592,1.006972657913365,0.19199999999999973,2500.0,45.27751515572804,41.31452067899976,34.1238600749719,0.0,-8.668507206848421e-08
2.593,1.0062102585934345,0.19299999999999962,2500.0,45.129622291600576,41.32433869918537,34.04506275696479,0.0,-8.668507206848421e-08
2.594,1.0052730637215213,0.1939999999999995,2500.0,44.987785174116716,41.33448569761015,33.96949194076939,0.0,-8.668507206848421e-08
2.595,1.0041601203632682,0.19499999999999984,2500.0,44.85210302747755,41.34491902528117,33.89720049304004,0.0,-8.668507206848421e-08
2.596,1.0028705235915196,0.19599999999999973,2500.0,44.7226642372329,41.355595169546056,33.82823550559769,0.0,-8.668507206848421e-08
2.597,1.0014034170360184,0.19699999999999962,2500.0,44.599537957942566,41.36646986672128,33.7626338239918,0.0,-8.668507206848421e-08
2.598,0.9997579934149818,0.1979999999999995,2499.4058738337803,44.472217873908846,41.37749829682607,33.700430101488216,0.0,-8.668507206848421e-08
2.599,0.9979334950482975,0.19899999999999984,2494.9267303435704,44.28250687633922,41.388635404183,33.641695943175556,0.0,-8.668507206848421e-08
2.6,0.9959292143521051,0.19999999999999973,2490.0062212344183,44.09206282038783,41.39983632291596,33.58653852986799,0.0,-8.668507206848421e-08
2.601,0.993744494314516,0.20099999999999962,2484.6427335421367,43.901132172980766,41.41105641426251,33.53509712482722,0.0,-8.668507206848421e-08
2.602,0.9913787289522609,0.2019999999999995,2478.8347795778004,43.70994998957043,41.42225139186084,33.48750867374236,0.0,-8.668507206848421e-08
2.603,0.9888313637480313,0.20299999999999985,2472.580998001417,43.51874404232416,41.433377468808196,33.443910274822294,0.0,-8.668507206848421e-08
2.604,0.9861018960683191,0.20399999999999974,2465.8801548477236,43.3277366204388,41.444391854015734,33.40444042463549,0.0,-8.668507206848421e-08
2.605,0.9831898755615329,0.20499999999999963,2458.7311445035634,43.13714072396003,41.455252802149374,33.3692372477415,0.0,-8.668507206848421e-08
2.606,0.9800949045362163,0.20599999999999952,2451.132990636411,42.94715714649405,41.46591959374806,33.33843717891343,0.0,-8.668507206848421e-08
2.607,0.976816638319169,0.20699999999999985,2443.08484707356,42.75797351585891,41.476352573722274,33.312174684127626,0.0,-8.668507206848421e-08
2.608,0.9733547855933073,0.20799999999999974,2434.5859986315695,42.56975876478668,41.486513555120325,33.29057946877514,0.0,-8.668507206848421e-08
2.609,0.9697091087150704,0.20899999999999963,2425.635861895498,42.38266157488287,41.4963658803855,33.27377579816477,0.0,-8.668507206848421e-08
